fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.8217255334805003,0.00954746136865342,0.3615384615384615,0.001098901098901095
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.8095106696100074,0.00336644591611468,0.35666208791208787,0.00048076923076922906
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.43863134657836644,0.08498896247240617,0.2707417582417582,0.07815934065934059
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.33758278145695364,0.018966151582045676,0.19203296703296702,0.012225274725274765
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.8196284032376747,0.005353200883002174,0.3524038461538461,0.003640109890109905
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7695364238410596,0.0018027961736570286,0.2671703296703297,0.00041208791208788287
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4056475349521706,0.09056291390728471,0.3300137362637362,0.028228021978021958
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3328734363502577,0.014403973509933804,0.28475274725274724,0.060027472527472495
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.36037527593818985,0.03197203826342898,0.2861950549450549,0.052815934065934045
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.710412067696836,0.022442972774098624,0.29478021978021973,0.008928571428571425
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4935062545989698,0.104727740986019,0.20425824175824175,0.008241758241758226
20,0.0,500,4,3,10,100,3,2.0,5,0.15,20,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3123068432671081,0.018635025754231066,0.3629120879120879,0.02884615384615391
20,0.0,500,4,3,10,100,4,1.0,3,0.15,19,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4949411331861663,0.002998528329654221,0.33873626373626364,0.004532967032967045
